Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
265570,2.0,1.0,2.0,1.0,6.0
262288,5.0,3.0,4.0,,12.0
270735,9.0,,,,9.0
268815,3.0,4.0,2.0,1.0,10.0
268817,5.0,1.0,2.0,1.0,9.0
53048,5.0,4.0,2.0,,11.0
61763,1.0,,,,1.0
268886,1.0,,,,1.0
265777,2.0,,,,2.0
265927,1.0,,2.0,,3.0
262773,4.0,1.0,5.0,2.0,12.0
267850,2.0,,,,2.0
263336,1.0,1.0,3.0,,5.0
268919,3.0,,,,3.0
263518,5.0,2.0,,,7.0
267921,2.0,,,,2.0
262851,2.0,4.0,2.0,,8.0
28154,1.0,,1.0,,2.0
269090,2.0,2.0,,,4.0
271578,4.0,3.0,,,7.0
6621,1.0,4.0,1.0,,6.0
267899,2.0,,,,2.0
265126,3.0,4.0,5.0,,12.0
269021,3.0,,,,3.0
266498,2.0,2.0,,,4.0
269060,6.0,,,,6.0
263363,3.0,,,,3.0
263470,1.0,1.0,,,2.0
28247,4.0,1.0,,,5.0
269146,5.0,,,,5.0
269553,3.0,7.0,,,10.0
267458,5.0,2.0,5.0,1.0,13.0
265432,4.0,,,,4.0
269269,4.0,,,,4.0
