Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
28663,4.0,15.0,,2.0,21.0
23106,20.0,22.0,3.0,,45.0
267613,18.0,22.0,1.0,,41.0
265239,7.0,4.0,2.0,,13.0
263009,17.0,15.0,14.0,,46.0
266438,6.0,4.0,,,10.0
25933,23.0,13.0,7.0,5.0,48.0
11432,22.0,20.0,12.0,2.0,56.0
269194,12.0,6.0,,8.0,26.0
40850,17.0,20.0,,,37.0
265330,4.0,9.0,,,13.0
28598,18.0,18.0,23.0,,59.0
28260,25.0,18.0,5.0,8.0,56.0
21928,4.0,6.0,10.0,16.0,36.0
15108,1.0,,,,1.0
59103,2.0,3.0,,,5.0
11172,11.0,8.0,8.0,27.0,54.0
18101,16.0,2.0,4.0,,22.0
138915,6.0,5.0,12.0,3.0,26.0
38496,11.0,10.0,,1.0,22.0
4800,19.0,13.0,,,32.0
55685,18.0,17.0,,1.0,36.0
17670,3.0,1.0,10.0,,14.0
17439,2.0,,3.0,,5.0
