Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
54036,3.0,,2.0,,5.0
7015,1.0,,,3.0,4.0
4761,5.0,3.0,,,8.0
17762,4.0,1.0,,,5.0
134190,2.0,,,,2.0
58552,3.0,,,,3.0
58656,3.0,1.0,,,4.0
55824,1.0,,2.0,4.0,7.0
9829,5.0,1.0,2.0,,8.0
18678,1.0,1.0,1.0,,3.0
14840,4.0,8.0,4.0,,16.0
23947,8.0,4.0,,,12.0
398143,2.0,,,,2.0
212895,1.0,7.0,,,8.0
53062,4.0,5.0,,,9.0
23106,6.0,5.0,,,11.0
61832,7.0,5.0,,,12.0
11172,2.0,2.0,,4.0,8.0
38264,8.0,1.0,,,9.0
17922,4.0,1.0,,,5.0
10024,1.0,,,,1.0
150178,1.0,,,,1.0
141731,5.0,2.0,,,7.0
25159,5.0,,,,5.0
34056,3.0,,,,3.0
8309,3.0,,,,3.0
139646,4.0,,1.0,,5.0
264397,4.0,2.0,,2.0,8.0
264409,8.0,1.0,,,9.0
268976,2.0,,,,2.0
267521,3.0,5.0,2.0,3.0,13.0
7438,3.0,3.0,,,6.0
265570,2.0,2.0,2.0,1.0,7.0
13999,2.0,2.0,4.0,2.0,10.0
264273,2.0,,,,2.0
8053,1.0,,2.0,,3.0
393544,1.0,1.0,,,2.0
56030,4.0,,,,4.0
52762,2.0,2.0,2.0,2.0,8.0
263966,4.0,,,2.0,6.0
36873,4.0,,2.0,,6.0
9873,1.0,2.0,,2.0,5.0
133676,4.0,,,,4.0
9245,1.0,,,,1.0
133524,1.0,,,,1.0
45650,1.0,,2.0,2.0,5.0
38758,2.0,2.0,,,4.0
41051,3.0,7.0,,,10.0
28186,3.0,1.0,,,4.0
52873,1.0,1.0,,,2.0
266015,1.0,,,,1.0
52551,2.0,1.0,,,3.0
263903,4.0,4.0,,,8.0
265274,8.0,,,,8.0
266302,8.0,,,,8.0
266247,1.0,1.0,,,2.0
262186,2.0,,,1.0,3.0
267201,1.0,1.0,,,2.0
5429,4.0,,,,4.0
262725,2.0,,,2.0,4.0
263791,6.0,,,,6.0
14080,3.0,2.0,1.0,1.0,7.0
270353,1.0,,1.0,,2.0
17754,1.0,,,,1.0
203446,2.0,,,,2.0
266353,4.0,,,,4.0
263998,1.0,1.0,,,2.0
263194,2.0,,,,2.0
264250,2.0,,,,2.0
270966,2.0,,,,2.0
268651,2.0,,1.0,,3.0
268674,2.0,,,,2.0
269201,1.0,,,,1.0
266315,1.0,,,,1.0
268029,5.0,2.0,,,7.0
266416,3.0,,,,3.0
268091,3.0,,,,3.0
267056,3.0,,,,3.0
28210,1.0,,,,1.0
263185,2.0,,,,2.0
265270,2.0,,,,2.0
53043,2.0,,,,2.0
263518,2.0,,,,2.0
6621,3.0,1.0,,,4.0
263363,1.0,,,,1.0
269146,4.0,,,,4.0
53230,2.0,,,,2.0
264398,3.0,2.0,,,5.0
52648,2.0,2.0,,,4.0
269895,2.0,,1.0,,3.0
328112,2.0,,,,2.0
266911,2.0,,,,2.0
266963,1.0,,1.0,,2.0
262973,1.0,1.0,,,2.0
267110,2.0,2.0,,,4.0
266710,4.0,,4.0,,8.0
267209,1.0,2.0,,,3.0
267284,1.0,,,,1.0
267311,2.0,,,,2.0
268196,1.0,1.0,,,2.0
135259,3.0,,,,3.0
131711,1.0,,,,1.0
58668,1.0,,,,1.0
204774,1.0,1.0,1.0,1.0,4.0
58655,3.0,1.0,,,4.0
134128,2.0,,2.0,,4.0
7342,3.0,4.0,2.0,2.0,11.0
10674,3.0,,,,3.0
2559,1.0,,,,1.0
5,3.0,,3.0,,6.0
11854,1.0,1.0,,,2.0
42245,2.0,,,,2.0
60362,6.0,,,,6.0
30910,2.0,,,,2.0
203585,1.0,,,,1.0
34006,1.0,,,,1.0
35574,2.0,4.0,,,6.0
24757,1.0,,1.0,,2.0
327822,2.0,2.0,,,4.0
59378,2.0,,,,2.0
131722,1.0,,1.0,,2.0
58665,1.0,,1.0,,2.0
134928,3.0,,,,3.0
136748,2.0,,,,2.0
136683,2.0,,,,2.0
136645,2.0,,,,2.0
138383,1.0,,,,1.0
134868,1.0,,2.0,2.0,5.0
